# Baseline: 2026-07-21T18:49:25+02:00 GCC_OPT=-O2 TCC=8c18fcc0
test,function,tcc_O2,gcc_-O2
gcc-compile/20000605-1,x,3,3
gcc-compile/20000606-1,baz,4,4
gcc-compile/20000609-1,main,13,2
gcc-compile/20000629-1,bar,9,6
gcc-compile/20000629-1,foo,8,6
gcc-compile/20000701-1,dr106_1,1,1
gcc-compile/20000701-1,dr106_2,1,1
gcc-compile/20000717-1,inner_product,18,11
gcc-compile/20000718,baz,22,19
gcc-compile/20000728-1,foo,1,1
gcc-compile/20000802-1,bar,17,11
gcc-compile/20000803-1,gl_yank,11,4
gcc-compile/20000804-1,f,1,14
gcc-compile/20000818-1,foo,1,1
gcc-compile/20000825-1,fails,4,4
gcc-compile/20000825-1,foobar,4,4
gcc-compile/20000825-1,good,2,2
gcc-compile/20000827-1,foo,5,4
gcc-compile/20000922-1,quick_doit,3,1
gcc-compile/20000923-1,foo,4,7
gcc-compile/20001018-1,foo,1,1
gcc-compile/20001024-1,quux,3,3
gcc-compile/20001121-1,foo,13,8
gcc-compile/20001123-1,func,1,1
gcc-compile/20001123-2,bar,8,4
gcc-compile/20001205-1,osf_getsysinfo,7,5
gcc-compile/20001212-1,a,1,3
gcc-compile/20001222-1,f,15,9
gcc-compile/200031109-1,t,5,5
gcc-compile/20010102-1,_obstack_newchunk,96,81
gcc-compile/20010107-1,foo,3,2
gcc-compile/20010112-1,f,1,1
gcc-compile/20010114-1,proc,1,1
gcc-compile/20010117-1,baz,15,11
gcc-compile/20010117-2,baz,52,33
gcc-compile/20010118-1,foo,13,6
gcc-compile/20010202-1,foo,1,1
gcc-compile/20010209-1,main,5,5
gcc-compile/20010226-1,bar.0,11,5
gcc-compile/20010226-1,foo,19,25
gcc-compile/20010227-1,foo,1,1
gcc-compile/20010326-1,foo,1,1
gcc-compile/20010328-1,__statfs64,51,38
gcc-compile/20010329-1,foo,17,7
gcc-compile/20010404-1,foo,12,6
gcc-compile/20010408-1,AclSetPerm,148,111
gcc-compile/20010421-1,residual,24,4
gcc-compile/20010423-1,fn,14,5
gcc-compile/20010426-1,foo,55,57
gcc-compile/20010503-1,bar,5,5
gcc-compile/20010503-1,foo,11,5
gcc-compile/20010518-2,foo,1,7
gcc-compile/20010605-1,main,2,2
gcc-compile/20010605-2,foo,6,4
gcc-compile/20010605-3,foo,5,5
gcc-compile/20010610-1,main,2,2
gcc-compile/20010611-1,fgetws,2,2
gcc-compile/20010706-1,foo,2,2
gcc-compile/20010711-1,foo,1,1
gcc-compile/20010711-1,test,1,1
gcc-compile/20010711-2,foo,1,1
gcc-compile/20010711-2,test,1,1
gcc-compile/20010824-1,f,10,1
gcc-compile/20010903-1,baz,13,8
gcc-compile/20010903-2,rpmatch,5,3
gcc-compile/20011010-1,foo,11,12
gcc-compile/20011023-1,bar,6,6
gcc-compile/20011029-1,bar,25,7
gcc-compile/20011109-1,die,2,3
gcc-compile/20011114-2,foo,22,11
gcc-compile/20011114-3,baz,18,12
gcc-compile/20011114-4,baz,10,26
gcc-compile/20011119-1,xxx,2,2
gcc-compile/20011119-2,bar,2,3
gcc-compile/20011119-2,baz,2,3
gcc-compile/20011119-2,xxx,2,2
gcc-compile/20011130-1,foo,4,2
gcc-compile/20011130-2,foo,159,71
gcc-compile/20011205-1,foo,1,3
gcc-compile/20011217-2,main,2,2
gcc-compile/20011218-1,foo,12,11
gcc-compile/20011219-1,foo,54,31
gcc-compile/20011219-2,foo,42,30
gcc-compile/20011229-1,image_render_color,67,53
gcc-compile/20011229-2,foo,9,7
gcc-compile/20020103-1,bar,18,17
gcc-compile/20020106-1,foo,13,7
gcc-compile/20020109-1,foo,36,25
gcc-compile/20020109-2,extern_test,1,5
gcc-compile/20020109-2,main,2,2
gcc-compile/20020110,foo,1,1
gcc-compile/20020116-1,main,38,29
gcc-compile/20020120-1,foo,41,48
gcc-compile/20020121-1,StartDisplay,6,5
gcc-compile/20020129-1,foo,6,8
gcc-compile/20020206-1,foo,2,2
gcc-compile/20020210-1,f,1,1
gcc-compile/20020304-1,BGl_evcompilezd2lambdazd2zz__evcompilez00,272,199
gcc-compile/20020304-2,foo,12,8
gcc-compile/20020309-1,sub1,1,1
gcc-compile/20020309-2,foo,1,21
gcc-compile/20020312-1,foo,9,6
gcc-compile/20020314-1,user_send_buffer,19,3
gcc-compile/20020315-1,deq,7,5
gcc-compile/20020315-1,dgt,7,7
gcc-compile/20020315-1,dne,7,6
gcc-compile/20020315-1,seq,7,5
gcc-compile/20020315-1,sgt,7,7
gcc-compile/20020315-1,sne,7,6
gcc-compile/20020318-1,baz,4,1
gcc-compile/20020318-1,foo,1,1
gcc-compile/20020319-1,zip,27,10
gcc-compile/20020320-1,foo,20,18
gcc-compile/20020323-1,foo,24,18
gcc-compile/20020330-1,foo,24,14
gcc-compile/20020409-1,f,1,1
gcc-compile/20020415-1,andop,2,4
gcc-compile/20020415-1,notop,2,4
gcc-compile/20020415-1,orop,2,4
gcc-compile/20020530-1,bar1,8,7
gcc-compile/20020530-1,bar2,8,7
gcc-compile/20020604-1,foo,133,64
